ID,Values
"52352403","War of the League of the Indies"
"27687104","Deepwater Pathfinder"
"4285058","Wikipedia:Articles for deletion/Joseph Prymak"
"1870985","Cardinal Infante Ferdinand"
"18567380","Wikipedia:Articles for deletion/Yorkshire colloquialisms"
"19413695","University of the German Federal Armed Forces Hamburg"
"57524285","Peter Hogarth Doyle"
"16596803","Rural Municipality of Rosedale"
"15376635","Demonstrations In Chaos"
"35518800","Wikipedia:WikiProject Spam/LinkReports/wikipediocracy.com"
"40860373","File:Hill-and-Wang-logo.gif"
"2871470","Don't Worry"
"13870735","Wikipedia:April Fools/Feature VfD"
"41385323","Natkuh, Yazd"
"48416751","John Okoye Ebuka"
"54556373","Category:Bodies of water of Garza County, Texas"
"8266032","Norman Collier"
"28952824","Snake blenny (disambiguation)"
"49708849","2000-01 Glasgow Warriors season"
"41330923","Tamugheh"
"5777766","Long Axe"
"11749813","Es/No"
"11595845","Β-globulins"
"4438673","Dell monitors"
"34154787","Paul Frankland"
"39995280","TM 103: Hustlerz Ambition"
"20859928","Jardin botanique Henri Gaussen"
"5483461","Spanish Language and Literature"
"1120671","Sorrèze"
"24999363","Ziaur Rahman (disambiguation)"
"8363808","File:Cycas revoluta new leafs.JPG"
"13951161","Lag da Cresta"
"50030115","Ministry of Housing and Villages Development (Malaysia)"
"55535177","Wikipedia:WikiProject Espionage/Article alerts"
"48896489","Category:List-Class Baltic states military history articles"
"22683024","Hanford-Corcoran, CA Metropolitan Area"
"56591646","Wikipedia:Help desk/Archives/2018 February 11"
"3915545","Julian Rignall"
"37297524","Elizabeth, Margravine of Anspach"
"28590589","Wikipedia:Help desk/Archives/2010 August 25"
"51235815","Nonfinite (disambiguation)"
"10331201","Monitorul Oficial"
"14946609","Central Arizona Project Aqueduct"
"40813638","Line Corporation"
"32782856","Wikipedia:WikiProject Spam/LinkReports/georgemaher.com"
"23599357","Griffith Creek, West Virginia"
"24645341","Maire Eilis Ní Fhlaithearta"
"16535445","Ylaene"
"9083270","Cuareim River"
"29809747","Friedrich Kruger"
"38751461","Eupithecia packardata"
"9362339","Nong Mamong District"
"35898527","Sandnes Courthouse"
"51433988","Info.au"
"19577986","Muskapat"
"37494496","Ethel, Benton County, Washington"
"41920492","Template:Sudan-mil-bio-stub"
"35336544","Good Hope, Mississippi"
"557221","STS-91"
"16503981","Miriam Elisabeth Renvag"
"54313202","2017 Gerry Weber Open – Singles"
"28763666","United Moldova Party"
"52270230","Wikipedia:Collaborations of the Week/Electronic warfare"
"15656820","Category:Aerospace museums in Colorado"
"19971124","1928–29 FA Cup"
"55883312","Outline of Athens"
"23567303","Single-A (baseball)"
"5628479","John de Scotia"
"57556976","Category:Dartmouth Big Green women's ice hockey coaches"
"40010643","Template:Did you know nominations/Burj Qatar"
"52243638","Category:Université Paris-Saclay"
"15154152","Nebraska Extreme"
"27400429","Wikipedia:WikiProject Spam/LinkReports/jerseysleague.com"
"34063724","Mark Iv Estates, Alberta"
"22209689","Mark Hall Amitin"
"30256193","Hermes and the Infant Dionysos"
"1258495","Cord (textiles)"
"47176996","John L. Smith (U.S. Marines Corps pilot)"
"15429178","Shaista wahab"
"25296458","Wikipedia:Templates for discussion/Log/2008 March 12"
"37006802","Louis Rollet"
"17555075","Wikipedia:Reference desk/Archives/Computing/2008 May 18"
"121330","Woodstock, Minnesota"
"27195935","File:Rosa Raisa as Rachel in La Juive.jpg"
"40873496","File:Ten Birds Front Cover.jpg"
"22461695","Betty Brant-Leeds"
"27526165","Roman Kozak (theatre director)"
"42392509","Goat-sheep chimera"
"16689755","Pithecellobium reductum"
"1376887","Logical clock"
"48561937","Template:ISO 639 name pro-gem"
"16558500","Aicirits-Camou-Suhast"
"52370116","Buczacki"
"30471191","Secret Love (Stevie Nicks song)"
"16216762","Cardinal Niccolo Fieschi"
"46454739","Lisnarick, County Antrim"
"11882415","Wikipedia:WikiProject Spam/LinkReports/mikesmoves.com"
"1510869","Wikipedia:Articles for deletion/Kayoko Fujii"
"23687416","2001 Porto Open – Singles"
"54635588","Espinoza, Victor"
